feature,importance_rf
пропилен R1B,0.13579227353027223
нефрас R1B,0.11209420190035879
нефрас R1A,0.10039472935262121
пропилен R1A,0.09352417529318655
донор/КК З1В,0.04963276927689597
донор R1B,0.04486155898248146
К R1A,0.0419781396841493
ТЭА/КК Р1В,0.041125619829238375
К R1B,0.040456951031078874
водород R1A,0.03973056544973171
донор/КК Р1А,0.03717299544095217
ТЭА/КК Р1А,0.03678665126594273
давление R1B,0.03450924764749439
ТЭА R1B,0.03349886078228088
водород R1B,0.03086869578221541
донор R1A,0.026490946550418424
ПП/нр Р1В,0.02472489538519318
давление R1A,0.02405971453959842
ТЭА R1A,0.01658604145877061
Н2/ПП Р1В,0.010309232569436246
Н2/ПП Р1А,0.008926814172460055
ПП/нр Р1А,0.006950702498667723
температура R1A,0.005142198783740252
температура R1B,0.004382018792815148
