feature,importance_xgb
пропилен R1B,0.17012435
нефрас R1A,0.077480294
нефрас R1B,0.062905274
пропилен R1A,0.055035114
донор R1B,0.048702832
ТЭА/КК Р1В,0.047531966
К R1A,0.04425437
донор/КК З1В,0.043459777
К R1B,0.04148772
давление R1A,0.035918
водород R1B,0.035291106
ТЭА/КК Р1А,0.034117155
давление R1B,0.03401404
донор R1A,0.032477953
ТЭА R1B,0.030839697
водород R1A,0.03048134
Н2/ПП Р1А,0.030168101
Н2/ПП Р1В,0.02859422
ПП/нр Р1В,0.026140708
донор/КК Р1А,0.023804357
ТЭА R1A,0.023179267
ПП/нр Р1А,0.017467692
температура R1A,0.0137206
температура R1B,0.012804052
