feature,importance_xgb
пропилен R1B,0.0972119
донор R1B,0.062321417
К R1A,0.05921938
К R1B,0.0565968
нефрас R1B,0.055940267
давление R1B,0.050294958
ТЭА/КК Р1В,0.047487065
донор/КК З1В,0.046828542
давление R1A,0.045621853
ТЭА R1B,0.044674173
ПП/нр Р1В,0.040907815
водород R1B,0.039729636
водород R1A,0.039254688
пропилен R1A,0.038922343
Н2/ПП Р1В,0.03880913
ТЭА/КК Р1А,0.038178697
Н2/ПП Р1А,0.038011227
донор R1A,0.03753038
нефрас R1A,0.035684716
донор/КК Р1А,0.035562642
ТЭА R1A,0.03105573
ПП/нр Р1А,0.02015663
