ТЭА R1A,ТЭА R1B,донор R1A,донор R1B,нефрас R1A,нефрас R1B,водород R1A,водород R1B,пропилен R1A,пропилен R1B,давление R1A,температура R1A,давление R1B,температура R1B,катализатор R1A,катализатор R1B,производительность
26.29740639,28.34726715,4.601907015,4.964909458,5875.49751,5942.415332,0.244033091,0.180532429,6250.786963,6252.123975,7.007194471,69.97497559,6.992625475,69.9230957,0.226515503,0.234496928,11268.63353
26.24098682,28.36246815,4.592460394,4.955848122,5874.106494,5936.34082,0.24437283,0.18098893,6247.036133,6250.556885,7.009885502,70.00335693,6.997809505,69.95849609,0.226520676,0.234690872,11209.06421
26.17297211,28.33375626,4.582572603,4.956814241,5875.074707,5932.884961,0.245137058,0.181089263,6251.915918,6249.264307,7.005488396,70.01647949,7.009761286,70.08178711,0.226525848,0.234884816,11127.37639
26.1686676,28.45459118,4.578423452,4.981558371,5876.413818,5938.290479,0.245697697,0.181191559,6252.094238,6249.714258,6.993479586,70.00976563,6.998872328,70.08178711,0.226531021,0.235078761,11153.9262
26.11251888,28.37093792,4.569387722,4.958259821,5877.81792,5941.616406,0.246271825,0.180725025,6251.909961,6251.074414,6.986186934,69.99511719,6.985602045,70.01037598,0.226536194,0.235272705,11229.61974
26.09980869,28.39712486,4.569125462,4.966058683,5875.504785,5941.913477,0.246779867,0.180600621,6249.90249,6251.661035,6.972527885,69.99481201,6.973014545,69.97192383,0.226541367,0.235466649,11203.25896
26.04128819,28.35494137,4.557018995,4.956569195,5876.279688,5937.263916,0.246734393,0.179628615,6249.825391,6249.431689,6.972715712,70.01251221,6.973285484,69.91760254,0.226546539,0.235660594,11149.83327
26.04181328,28.40100288,4.560391712,4.96848793,5875.469727,5939.738379,0.247228952,0.179457878,6250.878662,6248.431152,6.963144827,70.02319336,6.974099779,69.9432373,0.226551712,0.235854538,11145.08282
26.04813671,28.44192123,4.558813238,4.974755335,5878.048145,5934.375049,0.247541085,0.179337369,6249.266309,6250.933691,6.956703424,70.00325521,6.979654169,70.00793457,0.226556885,0.236048482,11154.97681
26.06902523,28.38328571,4.561538601,4.960898066,5877.583936,5937.628906,0.24789132,0.178871702,6250.111621,6250.785596,6.94582963,69.99206543,6.976254892,70.00915527,0.226562057,0.236242427,11188.15936
26.40417805,28.49981785,4.615051317,4.985410261,5875.354346,5941.693701,0.247818691,0.178489864,6247.615625,6251.921533,6.939725733,70.00244141,6.971000814,70.01220703,0.22656723,0.236436371,11185.4336
26.5775898,28.55642452,4.652411795,4.994555998,5873.292676,5940.25459,0.248040032,0.177938472,6252.311963,6249.960449,6.936776781,70.0012207,6.961398649,69.98657227,0.226572403,0.236630315,11234.49781
26.52210312,28.45849648,4.643091631,4.984247684,5884.82207,5938.891162,0.248206295,0.177802187,6253.727539,6250.028564,6.924893093,69.99572754,6.960839415,69.98779297,0.226577576,0.236824259,11158.34259
26.10589848,28.53408852,4.573370695,4.991013861,5874.962549,5939.90249,0.24854091,0.177715351,6250.770557,6249.875293,6.928633881,70.00915527,6.964897728,69.96154785,0.22650787,0.23660886,11150.05972
26.18076954,28.48298626,4.580404854,4.986275482,5879.475488,5947.537354,0.248630126,0.177600358,6251.526318,6250.110498,6.91493907,70.00549316,6.960889626,70.00305176,0.226438165,0.23639346,11210.00713
26.11232185,28.37238846,4.573132372,4.961476612,5876.276953,5939.835205,0.248916008,0.177651325,6250.856592,6250.220459,6.910627651,70.01464844,6.961892176,70.01647949,0.226368459,0.23617806,11110.20179
26.07377605,28.44593754,4.559854507,4.975024557,5877.00293,5938.724268,0.248979539,0.177552184,6249.813574,6250.628564,6.903538132,70.00854492,6.960342979,70.02075195,0.226298754,0.23596266,11158.85143
26.01745911,28.38069649,4.555307484,4.985619974,5875.037646,5941.3104,0.248960288,0.177396126,6249.356543,6249.613965,6.892383194,69.9609375,6.959269762,70.03845215,0.226229048,0.23574726,11202.70087
25.88927803,28.27743053,4.532123661,4.947128344,5873.913428,5937.00249,0.248815031,0.177106306,6249.171533,6249.271289,6.897923946,69.98860677,6.94847579,69.96765137,0.226159342,0.23553186,11173.79413
25.91547737,28.35230331,4.526356792,4.982114172,5879.05,5937.927393,0.248546013,0.176784196,6251.227734,6250.819238,6.891220236,70.02441406,6.947733212,69.95666504,0.226089637,0.235316461,11190.20391
26.36454334,28.33995495,4.613159418,4.957644606,5867.77417,5898.577344,0.248305123,0.176592837,6251.683105,6250.297607,6.881192446,70.0088501,6.944761372,69.93347168,0.226019931,0.235101061,11206.75452
26.49625931,28.43783913,4.640711498,4.962754297,5897.413916,5972.518311,0.247890028,0.176299129,6251.75542,6250.115039,6.873505354,69.95910645,6.955654001,69.98352051,0.225950226,0.234885661,11139.25125
26.09028149,28.52503624,4.564217758,4.980417061,5877.647266,5950.327832,0.247435392,0.17643021,6251.190967,6250.495264,6.873997641,69.97253418,6.958130169,70.06286621,0.22588052,0.234670261,11176.49994
26.09986172,28.47221317,4.567130613,4.985562706,5871.062207,5945.946826,0.246932495,0.17676833,6249.608936,6250.79292,6.876378632,70.0378418,6.953834009,70.07263184,0.225810815,0.234454861,11210.56536
26.02118263,28.36998577,4.552726603,4.957593584,5873.432422,5939.527881,0.246759675,0.176798636,6248.183447,6251.668408,6.868655396,70.02563477,6.948105049,70.05371094,0.225741109,0.234239461,11181.70863
25.84012718,28.35275364,4.529324102,4.959141254,5872.605518,5936.687305,0.246307343,0.176704803,6249.950049,6253.198193,6.86229167,69.97192383,6.941072702,70.01342773,0.225853894,0.234230172,11213.60703
26.11624107,28.35273819,4.575689697,4.958682013,5871.742432,5939.829395,0.245747171,0.176349698,6248.797998,6250.856592,6.863297844,69.98291016,6.934703398,69.96582031,0.225966678,0.234220883,11230.78724
26.63579998,28.5165163,4.660474443,4.988987017,5875.977393,5939.223193,0.245093513,0.176227792,6250.017773,6250.320313,6.855091524,69.98901367,6.934229612,69.92919922,0.226079463,0.234211594,11187.85697
