feature,importance_rf
пропилен R1B,0.12673548323972983
нефрас R1B,0.11147671790632868
пропилен R1A,0.10325487504107501
нефрас R1A,0.09529320307063481
донор/КК З1В,0.0484128940021187
К R1A,0.04376406896905418
донор R1B,0.04330504101826664
ТЭА/КК Р1В,0.042139819040923926
К R1B,0.04140469105166405
водород R1A,0.038403126163156553
ТЭА/КК Р1А,0.03523919588432607
ТЭА R1B,0.03496058299669378
донор/КК Р1А,0.0339810967612472
давление R1B,0.03240666474755842
водород R1B,0.030501503860349846
донор R1A,0.029543949651120963
давление R1A,0.02755721653962413
ПП/нр Р1В,0.026166867704000195
ТЭА R1A,0.017437696553989926
Н2/ПП Р1В,0.012214561175693653
Н2/ПП Р1А,0.00971792658923956
ПП/нр Р1А,0.006880614711037975
температура R1A,0.005088341631816051
температура R1B,0.004113861690349933
