iter	Passed	Remaining
402	10378	12799
403	10402	12771
404	10428	12745
405	10453	12718
406	10477	12691
407	10502	12664
408	10527	12638
409	10552	12611
410	10578	12585
411	10602	12557
412	10627	12531
413	10650	12503
414	10676	12477
415	10701	12451
416	10726	12423
417	10751	12397
418	10776	12371
419	10801	12344
420	10826	12318
421	10851	12291
422	10876	12265
423	10901	12238
424	10925	12211
425	10950	12183
426	10974	12156
427	10999	12130
428	11023	12103
429	11048	12076
430	11073	12049
431	11098	12023
432	11125	11999
433	11152	11975
434	11179	11950
435	11206	11926
436	11234	11902
437	11260	11877
438	11285	11851
439	11310	11824
440	11336	11799
441	11360	11771
442	11385	11745
443	11410	11719
444	11435	11692
445	11461	11666
446	11502	11657
447	11526	11629
448	11552	11603
449	11577	11577
450	11602	11551
451	11627	11525
452	11652	11498
453	11677	11471
454	11703	11445
455	11728	11419
456	11753	11393
457	11779	11367
458	11805	11342
459	11829	11315
460	11854	11288
461	11879	11262
462	11904	11235
463	11929	11209
464	11953	11182
465	11979	11156
466	12004	11130
467	12029	11103
468	12054	11077
469	12078	11050
470	12105	11025
471	12133	11002
472	12160	10978
473	12187	10953
474	12215	10929
475	12242	10905
476	12269	10880
477	12296	10855
478	12322	10830
479	12348	10805
480	12375	10780
481	12402	10755
482	12428	10730
483	12456	10706
484	12482	10680
485	12514	10660
486	12540	10635
487	12567	10610
488	12593	10584
489	12620	10559
490	12646	10534
491	12672	10509
492	12700	10485
493	12727	10459
494	12761	10441
495	12788	10416
496	12816	10392
497	12844	10368
498	12869	10341
499	12896	10317
500	12923	10292
501	12950	10267
502	12976	10242
503	13004	10217
504	13030	10192
505	13056	10166
506	13083	10141
507	13109	10115
508	13134	10089
509	13160	10063
510	13185	10037
511	13210	10011
512	13237	9986
513	13263	9960
514	13289	9934
515	13315	9909
516	13342	9884
517	13370	9859
518	13398	9836
519	13426	9811
520	13454	9787
521	13481	9762
522	13510	9738
523	13538	9714
524	13565	9689
525	13592	9664
526	13620	9640
527	13647	9615
528	13674	9590
529	13701	9565
530	13727	9539
531	13757	9516
532	13783	9490
533	13810	9465
534	13839	9441
535	13866	9417
536	13893	9391
537	13921	9367
538	13947	9341
539	13975	9316
540	14002	9291
541	14030	9267
542	14057	9241
543	14084	9216
544	14110	9191
545	14137	9166
546	14165	9141
547	14192	9116
548	14220	9091
549	14247	9066
550	14275	9041
551	14302	9016
552	14330	8991
553	14357	8966
554	14385	8942
555	14412	8917
556	14440	8892
557	14468	8868
558	14497	8843
559	14524	8818
560	14551	8793
561	14579	8768
562	14606	8743
563	14633	8718
564	14660	8692
565	14687	8667
566	14715	8642
567	14743	8617
568	14770	8592
569	14797	8567
570	14824	8541
571	14853	8517
572	14881	8492
573	14909	8467
574	14936	8442
575	14963	8416
576	14992	8392
577	15018	8366
578	15045	8341
579	15074	8317
580	15101	8291
581	15127	8265
582	15152	8239
583	15179	8213
584	15205	8187
585	15231	8161
586	15256	8135
587	15283	8109
588	15310	8084
589	15336	8058
590	15362	8032
591	15388	8006
592	15414	7980
593	15439	7953
594	15465	7927
595	15491	7901
596	15517	7875
597	15543	7849
598	15569	7823
599	15595	7797
600	15623	7772
601	15649	7746
602	15675	7720
603	15702	7695
604	15729	7669
605	15755	7643
606	15781	7617
607	15807	7591
608	15834	7566
609	15860	7540
610	15886	7514
611	15912	7488
612	15938	7462
613	15963	7435
614	15988	7409
615	16014	7383
616	16040	7357
617	16067	7331
618	16093	7305
619	16119	7279
620	16144	7253
621	16170	7227
622	16196	7201
623	16223	7175
624	16249	7149
625	16275	7123
626	16301	7097
627	16329	7072
628	16355	7046
629	16381	7020
630	16407	6994
631	16433	6968
632	16460	6943
633	16486	6917
