iter	RMSE
215	129.2460541
216	128.8558121
217	128.4818033
218	128.2776972
219	127.9503453
220	127.5936543
221	127.3029931
222	126.5199063
223	126.1358907
224	124.9910795
225	124.3595121
226	123.6769149
227	123.1126681
228	122.6667531
229	122.2128766
230	121.5025442
231	120.9222965
232	120.3050887
233	119.8864142
234	119.6170735
235	119.2978131
236	118.7010909
237	118.3584878
238	117.921047
239	117.3169328
240	117.0397361
241	116.4802076
242	116.1588961
243	115.8760966
244	115.1706179
245	114.9014967
246	114.6296089
247	114.2952515
248	113.8125009
249	113.2468386
250	112.8852163
251	112.3699208
252	111.9341131
253	111.6076747
254	111.1937113
255	110.824781
256	110.2708208
257	109.9658827
258	109.5001934
259	109.185003
260	108.5888675
261	107.9947012
262	107.6308046
263	107.288178
264	106.7286553
265	106.4989618
266	106.2464753
267	105.6377928
268	105.3179916
269	104.8836342
270	104.5941198
271	103.9592399
272	103.6249253
273	103.3593086
274	103.0898835
275	102.7918859
276	102.2619963
277	101.9754212
278	101.5812837
279	101.3713045
280	101.127686
281	100.7759902
282	100.4746836
283	100.1084155
284	99.84805334
285	99.70779119
286	99.44124792
287	99.16002581
288	99.13443169
289	98.82889125
290	98.40008998
291	98.03474163
292	97.80647613
293	97.61811943
294	97.26423267
295	97.14566413
296	96.87946507
297	96.51697709
298	96.18683642
299	95.57943408
300	95.04458432
301	94.82767658
302	94.14354475
303	93.70692318
304	93.42301104
305	93.19270836
306	92.86345623
307	92.62261556
308	92.32393856
309	92.18842313
310	91.89603111
311	91.66960615
312	91.24456639
313	90.92672562
314	90.54280967
315	90.33810198
316	90.09332082
317	89.77310762
318	89.14911976
319	88.9173247
320	88.53947108
321	87.98308353
322	87.72137122
323	87.46757451
324	87.38359565
325	86.99678331
326	86.76017178
327	86.56798927
328	86.20993212
329	86.0508083
330	85.75330094
331	85.38671693
332	85.18302403
333	84.8938742
334	84.48855416
335	83.84506922
336	83.63534659
337	83.4865047
338	83.24468622
339	82.99547672
340	82.85523106
341	82.74267471
342	82.42092031
343	82.15389601
344	81.81070364
345	81.64164886
346	81.33040606
347	81.12075569
348	80.97649552
349	80.60929952
350	80.41136174
351	79.93870706
352	79.80145867
353	79.53788702
354	79.20013683
355	79.03106981
356	78.89755452
357	78.6573352
358	78.55755063
359	78.35951951
360	78.15125961
361	77.91904392
362	77.52927985
363	77.22292458
364	77.13707092
365	77.02095033
366	76.90676235
367	76.70011727
368	76.41935195
369	76.16727868
370	75.97276163
371	75.84281201
372	75.60725243
373	75.36737426
374	75.19773033
375	75.02221783
376	74.74244177
377	74.60337549
378	74.34248864
379	74.16583008
380	74.06509668
381	73.77824959
382	73.61551752
383	73.33019207
384	72.99808554
385	72.75434643
386	72.5955296
387	72.260309
388	72.12594172
389	71.90421079
390	71.5352631
391	71.30925324
392	71.05312681
393	70.92929475
394	70.58966775
395	70.32632572
396	70.20919189
397	70.02908495
398	69.65597663
399	69.51051082
400	69.18908814
401	68.95895821
402	68.69355548
403	68.54778244
404	68.30100783
405	67.95615802
406	67.66925949
407	67.31769664
408	66.97873601
409	66.82399808
410	66.7414703
411	66.61339052
412	66.31025838
413	65.99294998
414	65.77562807
415	65.63277693
416	65.29654082
417	65.12737279
418	64.88843529
419	64.76455317
420	64.61905595
421	64.47757446
422	64.31058252
423	64.17472618
424	63.95162797
425	63.79677376
426	63.52532713
427	63.19843491
428	63.07803941
429	62.91228362
430	62.77159806
431	62.58995893
432	62.41701417
433	62.27732787
434	62.04287424
435	61.92210069
436	61.81546088
437	61.50406263
438	61.44801212
439	61.3310144
440	61.16977815
441	60.86488118
442	60.59785262
443	60.50418296
444	60.31969647
445	60.05811102
446	59.88465164
447	59.67993443
448	59.57743516
449	59.45958776
450	59.31596082
451	59.2594172
452	59.12562892
453	58.97569775
454	58.80550783
455	58.66349256
456	58.51839718
457	58.40731123
458	58.23813222
459	57.96612501
460	57.73222123
461	57.58705119
462	57.32410849
463	57.14858716
464	57.02489412
465	56.81445358
466	56.71427761
467	56.57229895
468	56.31934997
469	56.15457833
470	55.94635363
471	55.79793721
472	55.61036787
473	55.48146586
474	55.38385722
475	55.27593602
476	55.14229376
477	55.03354202
478	54.72609315
479	54.6156218
480	54.50956613
481	54.38994036
482	54.30915525
483	54.16475152
484	54.02248934
485	53.83870703
486	53.68995865
487	53.48563933
488	53.38451569
489	53.24076781
490	52.98834685
491	52.74326366
492	52.61123429
493	52.49123597
494	52.21250406
495	52.06744262
496	51.99500642
497	51.89883412
498	51.71129216
499	51.48356311
500	51.35469889
501	51.23468315
502	51.10805647
503	50.92048027
504	50.73648936
505	50.52482323
506	50.43937815
507	50.39169343
508	50.32390679
509	50.13799843
510	50.03081433
511	49.88785671
512	49.74593954
513	49.59652868
514	49.49592454
515	49.32041006
516	49.21058968
517	49.0834962
518	49.01824376
519	48.85948659
520	48.78840016
521	48.70608684
522	48.61116274
523	48.41637893
524	48.33430621
525	48.24318453
526	48.17611647
527	47.97410137
528	47.89043774
529	47.80498985
530	47.73605706
531	47.50434582
532	47.34308247
533	47.19212391
534	47.13686372
535	46.95034886
536	46.8276529
537	46.71985545
538	46.6354932
539	46.52614976
540	46.43079371
541	46.38140407
542	46.23209868
543	46.11296668
544	45.98122405
545	45.89203853
546	45.68670151
547	45.53378939
548	45.4276137
549	45.29522478
550	45.12621753
551	44.98527725
552	44.8993993
553	44.78659613
554	44.65683288
555	44.58984798
556	44.47345665
557	44.41408666
558	44.27862297
559	44.09676743
560	43.93903045
561	43.87225663
562	43.79923594
563	43.69144726
564	43.59172599
565	43.51658792
566	43.40749588
567	43.3386781
568	43.17733614
569	43.05592625
570	42.89978694
571	42.79615865
572	42.72194248
573	42.63005397
574	42.54065807
575	42.47658084
576	42.35812845
577	42.13312166
578	42.03034395
579	41.8343835
580	41.75843142
581	41.69271207
582	41.60262454
583	41.42253538
584	41.38747954
585	41.32779767
586	41.20434279
587	41.0978993
588	40.85229495
589	40.82074497
590	40.72888701
591	40.66760438
592	40.58444169
593	40.52907874
594	40.31593804
595	40.23678788
596	40.17407484
597	40.07368614
598	39.98675653
599	39.85455988
600	39.70535934
601	39.61583176
602	39.52238505
603	39.33067099
604	39.26067039
605	39.16461838
606	39.08009262
607	39.01000995
608	38.837651
609	38.65774897
610	38.54359504
611	38.3944348
612	38.2932809
613	38.17866363
614	38.11798177
615	38.04975488
616	37.88929189
617	37.81943938
618	37.73715508
619	37.68013704
620	37.62323419
621	37.49913798
622	37.44584499
623	37.3347314
624	37.24544941
625	37.16642196
626	37.12220537
627	37.01538428
628	36.91716283
629	36.82543038
630	36.75987755
631	36.67420324
632	36.61762152
633	36.54032354
634	36.47137693
635	36.39030491
636	36.27453476
637	36.20159954
638	36.16005843
639	36.07721717
640	35.998222
641	35.94651475
642	35.90053188
643	35.76719093
644	35.72027326
645	35.66638375
646	35.61231134
647	35.48461298
648	35.43013978
649	35.35537691
650	35.1711549
651	35.0872611
652	34.98134881
653	34.90945662
654	34.86728332
655	34.78525196
656	34.75399063
657	34.66756459
658	34.59587482
659	34.50642564
660	34.44002728
661	34.40680859
662	34.35134957
663	34.27508459
664	34.11399896
665	34.01137404
666	33.9661051
667	33.92241898
668	33.85150592
669	33.79624033
670	33.65242123
671	33.57704853
672	33.50350609
673	33.44333503
674	33.42482992
675	33.33165755
676	33.20904097
677	33.12930527
678	33.03323249
679	32.99986182
680	32.87890778
681	32.79292383
682	32.76015374
683	32.7030472
684	32.64761175
685	32.58470439
686	32.5205303
687	32.36684835
688	32.26245187
689	32.19635405
690	32.04775558
691	31.99132587
692	31.94342248
693	31.837135
694	31.79957698
695	31.71135209
696	31.57634019
697	31.47914678
698	31.42237107
699	31.3425988
700	31.28791839
701	31.24882479
702	31.15452644
703	31.11559064
704	31.02372198
705	30.95986645
706	30.87169001
707	30.74836006
708	30.71714791
709	30.64507549
710	30.53383387
711	30.42787321
712	30.36673474
713	30.28985445
714	30.2144928
715	30.16603501
716	30.119152
717	30.0461899
718	29.93825196
719	29.86008338
720	29.75271134
721	29.69680357
722	29.56141804
723	29.47455942
724	29.38669499
725	29.26278441
726	29.19809906
727	29.14493466
728	29.05172293
729	29.00363913
730	28.93338336
731	28.86955692
732	28.80656088
733	28.75808863
734	28.67822911
735	28.56946974
736	28.47933265
737	28.4589567
738	28.42104335
739	28.36112393
740	28.30690393
741	28.20880483
742	28.1579301
743	28.0782108
744	28.0073022
745	27.9684559
746	27.92876674
747	27.8650752
748	27.77694845
749	27.75188241
750	27.67498554
751	27.63403576
752	27.57189063
753	27.51266062
754	27.49365888
755	27.3960231
756	27.35670073
757	27.29898232
758	27.2644508
759	27.21958998
760	27.10571771
761	27.01979519
762	26.98470038
763	26.89490745
764	26.82769222
765	26.75814177
766	26.70404856
767	26.65132903
768	26.59572041
769	26.52108465
770	26.40632671
771	26.3608251
772	26.29899039
773	26.19626098
774	26.14722277
775	26.07694912
776	26.01589923
777	25.96072499
778	25.88906868
779	25.85081071
780	25.81612526
781	25.77881904
782	25.70343277
783	25.6492334
784	25.62073499
785	25.55892689
786	25.51540042
787	25.45591541
788	25.38278041
789	25.31471143
790	25.27685699
791	25.23507413
792	25.20757284
793	25.13776955
794	25.07502445
795	25.01345006
796	24.96908805
797	24.92605418
798	24.88203293
799	24.84016493
800	24.8051275
801	24.74751518
802	24.69643088
803	24.62973607
804	24.58557253
805	24.54471986
806	24.50588313
807	24.47365721
808	24.40708669
809	24.3502001
810	24.29633379
811	24.26579164
812	24.24285999
813	24.15479195
814	24.12146154
815	24.10475616
816	24.0341021
817	24.00738215
818	23.97607179
819	23.92835689
820	23.83373947
821	23.77364723
822	23.72707166
823	23.65677189
824	23.59946395
825	23.57309393
826	23.47964729
827	23.42128967
828	23.36903236
829	23.30466911
830	23.27422819
831	23.23050428
832	23.1576725
833	23.11840065
834	23.01683913
835	22.94766251
836	22.91915946
837	22.87227802
838	22.8150413
839	22.79370237
840	22.74198816
841	22.72332277
842	22.68156295
843	22.66035576
844	22.61224354
845	22.58223531
846	22.52809387
847	22.50424103
848	22.41745302
849	22.39611242
850	22.37074762
851	22.31724748
852	22.29595082
853	22.24781595
854	22.20104495
855	22.15117856
856	22.10595863
857	22.06817529
858	22.03792317
859	21.97221006
860	21.94459593
861	21.91795497
862	21.85292302
863	21.80792916
864	21.75592306
865	21.69906802
866	21.63777805
867	21.52362825
868	21.44770311
869	21.42199124
870	21.39870153
871	21.3497774
872	21.30726676
873	21.27792093
874	21.19496745
875	21.14373823
876	21.11828681
877	21.07789906
878	21.03174025
879	21.00101385
880	20.93076345
881	20.89236485
882	20.83672279
883	20.80387847
884	20.7462951
885	20.68283652
886	20.61985237
887	20.57899166
888	20.54856663
889	20.50085962
890	20.46684897
891	20.4162505
892	20.35172201
893	20.30133809
894	20.26890682
895	20.23571914
896	20.19971219
897	20.13547495
898	20.07089161
899	20.04873911
